T_K,T_C,GM_Cu2O,GM_system_Cu2O,G_metal_Cu2O,dG_Cu2O_per_O2,phases_Cu2O,oxide_phase_Cu2O,GM_CuO,GM_system_CuO,G_metal_CuO,dG_CuO_per_O2,phases_CuO,oxide_phase_CuO,GM_Al2O3,GM_system_Al2O3,G_metal_Al2O3,dG_Al2O3_per_O2,phases_Al2O3,oxide_phase_Al2O3,GM_MgO,GM_system_MgO,G_metal_MgO,dG_MgO_per_O2,phases_MgO,oxide_phase_MgO,GM_SiO2,GM_system_SiO2,G_metal_SiO2,dG_SiO2_per_O2,phases_SiO2,oxide_phase_SiO2,GM_TiO2,GM_system_TiO2,G_metal_TiO2,dG_TiO2_per_O2,phases_TiO2,oxide_phase_TiO2,GM_FeO,GM_system_FeO,G_metal_FeO,dG_FeO_per_O2,phases_FeO,oxide_phase_FeO
500,226.85000000000002,-73444.47851781487,-73389.02942069774,-18012.01612998924,-264411.7348070324,CUPRITE#1;FCC_A1#1,CUPRITE#1,-89642.55068000827,-89642.55068000827,-18012.01612998924,-218339.09868015468,CUO#1,CUO#1,-341247.4201999112,-341247.42019991117,-15643.623226224427,-1012426.164584838,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-308692.026168473,-308692.026168473,-17846.11191768296,-1094868.8090586262,HALITE#1,HALITE#1,-311415.6797722869,-311156.3676284045,-10664.61840153179,-819375.349135429,GAS#1;QUARTZ#1,QUARTZ#1,-323627.46031576535,-323355.9364595087,-16901.09475635301,-849774.2144110431,GAS#1;RUTILE#1,RUTILE#1,-151649.5267927353,-151649.5267927353,-15154.712550943865,-472081.6102891535,BCC_A2#1;SPINEL#1,NOT_FOUND
550,276.85,-75626.29033999027,-75571.03527918663,-20387.80605459397,-256894.64037843983,CUPRITE#1;FCC_A1#1,CUPRITE#1,-91377.31457181176,-91377.31457181176,-20387.80605459397,-209421.7687349332,CUO#1,CUO#1,-342293.34676766116,-342293.34676766116,-17787.564821433632,-1001949.1920204998,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-309964.33823986474,-309964.33823986474,-20217.612415288026,-1084110.250685757,HALITE#1,HALITE#1,-312606.92445298535,-312351.97346725385,-12227.269548358932,-810281.6263674711,GAS#1;QUARTZ#1,QUARTZ#1,-325057.23939028365,-324789.83802967024,-19193.486747178053,-840666.353980547,GAS#1;RUTILE#1,RUTILE#1,-153434.73754917062,-153434.73754917062,-17286.51894002394,-463854.0348735086,BCC_A2#1;SPINEL#1,NOT_FOUND
600,326.85,-77918.12373325895,-77863.07306831657,-22883.973990351085,-249412.37126428843,CUPRITE#1;FCC_A1#1,CUPRITE#1,-93226.43018787693,-93226.43018787693,-22883.973990351085,-200577.29759694467,CUO#1;CUPRITE#1,CUO#1,-343439.0439761107,-343439.04397611064,-20056.83432913121,-991493.8923076662,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-311342.511803962,-311342.511803962,-22714.97237072452,-1073379.627300538,HALITE#1,HALITE#1,-313893.4722523528,-313642.8590176874,-13898.0831646358,-801221.8584185616,GAS#1;QUARTZ#1,QUARTZ#1,-326591.82859267655,-326328.4445554457,-21615.89247530315,-831599.1181288656,GAS#1;RUTILE#1,RUTILE#1,-155350.43787548592,-155350.43787548592,-19557.48902624624,-455726.2982755903,BCC_A2#1;SPINEL#1,NOT_FOUND
650,376.85,-80312.45239865134,-80257.61511714036,-25491.6220721397,-241965.31065739636,CUPRITE#1;FCC_A1#1,CUPRITE#1,-95181.93973668384,-95181.93973668384,-25491.6220721397,-191801.59935650308,CUO#1;CUPRITE#1,CUO#1,-344678.58176566765,-344678.58176566765,-22443.34363530155,-981061.2322592037,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-312819.3102422916,-312819.3102422916,-25329.8329481794,-1062674.6596268546,HALITE#1,HALITE#1,-315269.7192705789,-315023.42100903124,-15669.616223099398,-792196.6261426844,GAS#1;QUARTZ#1,QUARTZ#1,-328224.18820413295,-327964.935476011,-24159.617157446057,-822570.0320089998,GAS#1;RUTILE#1,RUTILE#1,-157391.3986791683,-157391.3986791683,-21961.619885454515,-447699.43949981127,BCC_A2#1;SPINEL#1,NOT_FOUND
700,426.85,-82802.79715112553,-82748.18113176675,-28203.162598143324,-234553.45403760075,CUPRITE#1;FCC_A1#1,CUPRITE#1,-97236.9345258749,-97236.93452587491,-28203.162598143324,-183090.73443063375,CUO#1;CUPRITE#1,CUO#1,-346006.5516205186,-346006.55162051856,-24940.287020723375,-970650.7775641849,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-314388.3738298458,-314388.3738298458,-28055.21418461069,-1051992.3884735827,HALITE#1,HALITE#1,-316730.70761481236,-316488.7022464357,-17535.41258990609,-783206.0317779519,GAS#1;QUARTZ#1,QUARTZ#1,-329948.057719743,-329692.8350103325,-26817.228922759088,-813576.2657598908,GAS#1;RUTILE#1,RUTILE#1,-159553.78067550983,-159553.78067550983,-24494.40498932313,-439775.63424681395,BCC_A2#1;SPINEL#1,NOT_FOUND
750,476.85,-85383.53011770175,-85329.14231986547,-31012.048620754493,-227176.65775607305,CUPRITE#1;FCC_A1#1,CUPRITE#1,-99385.37534629101,-99385.37534629101,-31012.048620754493,-174441.0756765355,CUO#1,CUO#1,-347418.0599390863,-347418.05993908626,-27541.909855352762,-960261.3248560312,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-316044.0921500064,-316044.0921500064,-30885.237032074892,-1041329.5660687562,HALITE#1,HALITE#1,-318272.8819268064,-318035.1472091131,-19489.83258589665,-774252.4847274031,GAS#1;QUARTZ#1,QUARTZ#1,-331757.8562439731,-331506.63661222963,-29582.30429732682,-804614.9359674728,GAS#1;RUTILE#1,RUTILE#1,-161835.2191004255,-161835.2191004255,-27152.63934581299,-431959.2692429565,BCC_A2#1;SPINEL#1,NOT_FOUND
800,526.85,-88049.72247832146,-87995.56908281666,-33912.572992159054,-219834.7384421624,CUPRITE#1;FCC_A1#1,CUPRITE#1,-101621.94704351555,-101621.94704351555,-33912.572992159054,-165849.33773061394,CUO#1;CUPRITE#1,CUO#1,-348908.680821815,-348908.680821815,-30243.54892781366,-949890.8997098347,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-317781.49223280826,-317781.49223280826,-33814.91420690537,-1030682.8360582921,HALITE#1,HALITE#1,-319894.44631802075,-319660.9585239323,-21527.915562807197,-765342.1189321248,GAS#1;QUARTZ#1,QUARTZ#1,-333648.5921252853,-333401.35049758916,-32449.236671092316,-795683.2352456334,GAS#1;RUTILE#1,RUTILE#1,-164235.1332793927,-164235.1332793927,-29934.31523703503,-424258.59818437055,BCC_A2#1;SPINEL#1,NOT_FOUND
850,576.85,-90797.02512249297,-90743.11163904812,-36899.715722671725,-212527.52327433357,CUPRITE#1;FCC_A1#1,CUPRITE#1,-103941.9413050056,-103941.9413050056,-36899.715722671725,-157312.56920474168,CUO#1;CUPRITE#1,CUO#1,-350474.40932189603,-350474.409321896,-33041.62978699,-939536.7601203963,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-319596.14379156154,-319596.14379156154,-36839.99017077323,-1020048.8302547624,HALITE#1,HALITE#1,-321596.1260397663,-321366.85779601143,-23645.26953832292,-756487.3440110388,GAS#1;QUARTZ#1,QUARTZ#1,-335615.7839026284,-335372.4957477119,-35413.08974564535,-786778.4973923026,GAS#1;RUTILE#1,RUTILE#1,-170489.52648389398,-166862.30005522663,-32838.631144334606,-431625.07907696936,BCC_A2#1;HALITE#1,HALITE#1
900,626.85,-93621.57421401794,-93567.90556544831,-39969.02623895592,-205254.87568636888,CUPRITE#1;FCC_A1#1,CUPRITE#1,-106341.16200991615,-106341.16200991615,-39969.02623895592,-148828.13091983777,CUO#1,CUO#1,-352111.61462158855,-352111.6146215885,-35933.493262319695,-929195.593080287,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-321484.08006031066,-321484.08006031066,-39956.81681890714,-1009424.2219615133,HALITE#1,HALITE#1,-323378.1519266466,-323153.07300704083,-25837.981721923563,-747698.0094161012,GAS#1;QUARTZ#1,QUARTZ#1,-337655.3923921176,-337416.03607423656,-38469.48402475,-777898.2285096878,GAS#1;RUTILE#1,RUTILE#1,-173243.81522527264,-169780.92511906938,-35866.058326264036,-424644.67960664746,BCC_A2#1;HALITE#1,HALITE#1
950,676.85,-96519.91572285461,-96466.49631276377,-43116.53145504323,-198016.70608123986,CUPRITE#1;FCC_A1#1,CUPRITE#1,-108815.8484205164,-108815.8484205164,-43116.53145504323,-140393.66833626427,CUO#1,CUO#1,-353816.9965679284,-353816.9965679284,-39104.94508739998,-918613.3993408466,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-323441.73196251167,-323441.73196251167,-43410.93403341452,-998308.3973475026,HALITE#1,HALITE#1,-325223.1259409835,-325002.22114626033,-28102.543821819592,-738930.171565416,GAS#1;QUARTZ#1,QUARTZ#1,-339763.76286781894,-339528.31681273127,-41614.51852533186,-769040.1076424101,GAS#1;RUTILE#1,RUTILE#1,-176134.93526066505,-172779.54097370425,-39018.54346625684,-417865.9916744317,BCC_A2#1;HALITE#1,HALITE#1
